seed,measurement,value
0.0,Cost,1.015314
0.0,Cost gap,0.7359975
0.0,Optimization time (s),58.13049300061539
0.0,Compilation time (s),72.82661256985739
0.0,STL Robustness,-0.37785536
0.0,Total effort (N-s),12718.016
0.0,Optimization rounds,1.0
0.0,Final population size,32.0
1.0,Cost,0.39248314
1.0,Cost gap,0.3109227
1.0,Optimization time (s),51.71939257206395
1.0,Compilation time (s),62.84559585805982
1.0,STL Robustness,0.052187163
1.0,Total effort (N-s),9268.884
1.0,Optimization rounds,1.0
1.0,Final population size,32.0
2.0,Cost,0.6173064
2.0,Cost gap,0.5553068
2.0,Optimization time (s),48.95657061738893
2.0,Compilation time (s),61.849304511677474
2.0,STL Robustness,-0.15883078
2.0,Total effort (N-s),8598.982
2.0,Optimization rounds,1.0
2.0,Final population size,32.0
3.0,Cost,0.3998599
3.0,Cost gap,0.30994213
3.0,Optimization time (s),51.827651578933
3.0,Compilation time (s),62.048475900664926
3.0,STL Robustness,0.05331001
3.0,Total effort (N-s),8861.786
3.0,Optimization rounds,1.0
3.0,Final population size,32.0
4.0,Cost,0.8937948
4.0,Cost gap,0.808246
4.0,Optimization time (s),52.6631624433212
4.0,Compilation time (s),63.06087791593745
4.0,STL Robustness,-0.46359858
4.0,Total effort (N-s),7903.96
4.0,Optimization rounds,1.0
4.0,Final population size,32.0
5.0,Cost,0.8829403
5.0,Cost gap,0.78864795
5.0,Optimization time (s),48.95964292623103
5.0,Compilation time (s),61.81308691529557
5.0,STL Robustness,-0.43630287
5.0,Total effort (N-s),9044.82
5.0,Optimization rounds,1.0
5.0,Final population size,32.0
6.0,Cost,2.3035169
6.0,Cost gap,1.7801857
6.0,Optimization time (s),48.41033476265147
6.0,Compilation time (s),62.00450949696824
6.0,STL Robustness,-1.9542075
6.0,Total effort (N-s),6161.8438
6.0,Optimization rounds,1.0
6.0,Final population size,32.0
7.0,Cost,0.2968976
7.0,Cost gap,0.23556975
7.0,Optimization time (s),50.51019399333745
7.0,Compilation time (s),63.85522762686014
7.0,STL Robustness,0.055794943
7.0,Total effort (N-s),7387.245
7.0,Optimization rounds,1.0
7.0,Final population size,32.0
8.0,Cost,0.4686727
8.0,Cost gap,0.36422786
8.0,Optimization time (s),50.07272244105116
8.0,Compilation time (s),63.47675324091688
8.0,STL Robustness,0.052693777
8.0,Total effort (N-s),10609.983
8.0,Optimization rounds,1.0
8.0,Final population size,32.0
9.0,Cost,2.3157864
9.0,Cost gap,1.4523739
9.0,Optimization time (s),49.840982063207775
9.0,Compilation time (s),62.79887657798827
9.0,STL Robustness,-1.9542105
9.0,Total effort (N-s),6407.2397
9.0,Optimization rounds,1.0
9.0,Final population size,32.0
10.0,Cost,0.72633743
10.0,Cost gap,0.6757356
10.0,Optimization time (s),49.087586200330406
10.0,Compilation time (s),63.74297438701615
10.0,STL Robustness,-0.44259033
10.0,Total effort (N-s),5440.941
10.0,Optimization rounds,1.0
10.0,Final population size,32.0
11.0,Cost,0.3134166
11.0,Cost gap,0.23635471
11.0,Optimization time (s),50.32422083383426
11.0,Compilation time (s),63.30085589969531
11.0,STL Robustness,0.051969282
11.0,Total effort (N-s),7469.4805
11.0,Optimization rounds,1.0
11.0,Final population size,32.0
12.0,Cost,0.40529644
12.0,Cost gap,0.29850596
12.0,Optimization time (s),48.9919048040174
12.0,Compilation time (s),63.197614586912096
12.0,STL Robustness,0.049780972
12.0,Total effort (N-s),9348.718
12.0,Optimization rounds,1.0
12.0,Final population size,32.0
13.0,Cost,0.43432584
13.0,Cost gap,0.35985044
13.0,Optimization time (s),49.1240047798492
13.0,Compilation time (s),63.42992878193036
13.0,STL Robustness,-0.0055270335
13.0,Total effort (N-s),8180.311
13.0,Optimization rounds,1.0
13.0,Final population size,32.0
14.0,Cost,2.299113
14.0,Cost gap,0.494398
14.0,Optimization time (s),49.90930838603526
14.0,Compilation time (s),63.24799891700968
14.0,STL Robustness,-1.954106
14.0,Total effort (N-s),6074.0137
14.0,Optimization rounds,1.0
14.0,Final population size,32.0
15.0,Cost,0.75065285
15.0,Cost gap,0.67024463
15.0,Optimization time (s),50.21377574140206
15.0,Compilation time (s),63.14620859315619
15.0,STL Robustness,-0.31383935
15.0,Total effort (N-s),8713.122
15.0,Optimization rounds,1.0
15.0,Final population size,32.0
16.0,Cost,0.4081571
16.0,Cost gap,0.32682425
16.0,Optimization time (s),50.37103833304718
16.0,Compilation time (s),63.20449568191543
16.0,STL Robustness,0.053935207
16.0,Total effort (N-s),9588.861
16.0,Optimization rounds,1.0
16.0,Final population size,32.0
17.0,Cost,0.7237771
17.0,Cost gap,0.54497856
17.0,Optimization time (s),50.716655428987
17.0,Compilation time (s),63.41143931914121
17.0,STL Robustness,-0.14927417
17.0,Total effort (N-s),10916.635
