seed,measurement,value
0.0,Cost,0.51229507
0.0,Cost gap,0.44846857
0.0,Optimization time (s),130.13543042214587
0.0,Compilation time (s),77.54634377500042
0.0,STL Robustness,-0.09481403
0.0,Total effort (N-s),7771.292
0.0,Optimization rounds,1.0
0.0,Final population size,64.0
1.0,Cost,0.3570367
1.0,Cost gap,0.25417262
1.0,Optimization time (s),120.80594765534624
1.0,Compilation time (s),77.70815432723612
1.0,STL Robustness,0.051638592
1.0,Total effort (N-s),8495.241
1.0,Optimization rounds,1.0
1.0,Final population size,64.0
2.0,Cost,0.35675842
2.0,Cost gap,0.29026377
2.0,Optimization time (s),109.1853505074978
2.0,Compilation time (s),91.7632860778831
2.0,STL Robustness,0.061631586
2.0,Total effort (N-s),8576.101
2.0,Optimization rounds,1.0
2.0,Final population size,64.0
3.0,Cost,0.37759733
3.0,Cost gap,0.2946105
3.0,Optimization time (s),113.78525811992586
3.0,Compilation time (s),67.58372958097607
3.0,STL Robustness,0.04956146
3.0,Total effort (N-s),8944.391
3.0,Optimization rounds,1.0
3.0,Final population size,64.0
4.0,Cost,0.36971024
4.0,Cost gap,0.30746648
4.0,Optimization time (s),122.34262323193252
4.0,Compilation time (s),69.85608265688643
4.0,STL Robustness,0.05625276
4.0,Total effort (N-s),8865.422
4.0,Optimization rounds,1.0
4.0,Final population size,64.0
5.0,Cost,0.42008308
5.0,Cost gap,0.35072878
5.0,Optimization time (s),102.51646612212062
5.0,Compilation time (s),69.29560418380424
5.0,STL Robustness,0.05900787
5.0,Total effort (N-s),9582.342
5.0,Optimization rounds,1.0
5.0,Final population size,64.0
6.0,Cost,0.31517142
6.0,Cost gap,0.24223995
6.0,Optimization time (s),104.40165564138442
6.0,Compilation time (s),67.0891349259764
6.0,STL Robustness,0.059428614
6.0,Total effort (N-s),7781.0835
6.0,Optimization rounds,1.0
6.0,Final population size,64.0
7.0,Cost,0.34389278
7.0,Cost gap,0.2864682
7.0,Optimization time (s),102.89322882518172
7.0,Compilation time (s),67.3258326658979
7.0,STL Robustness,0.059168834
7.0,Total effort (N-s),8079.099
7.0,Optimization rounds,1.0
7.0,Final population size,64.0
8.0,Cost,0.34190878
8.0,Cost gap,0.2761746
8.0,Optimization time (s),105.2366595272906
8.0,Compilation time (s),67.61549637280405
8.0,STL Robustness,0.059082303
8.0,Total effort (N-s),8232.698
8.0,Optimization rounds,1.0
8.0,Final population size,64.0
9.0,Cost,0.33528915
9.0,Cost gap,0.26052245
9.0,Optimization time (s),107.00171582913026
9.0,Compilation time (s),67.2640385418199
9.0,STL Robustness,0.058788877
9.0,Total effort (N-s),8152.038
9.0,Optimization rounds,1.0
9.0,Final population size,64.0
10.0,Cost,0.42646036
10.0,Cost gap,0.3490766
10.0,Optimization time (s),103.97258201241492
10.0,Compilation time (s),67.10271662008017
10.0,STL Robustness,0.045936007
10.0,Total effort (N-s),9219.641
10.0,Optimization rounds,1.0
10.0,Final population size,64.0
11.0,Cost,0.37844223
11.0,Cost gap,0.31912977
11.0,Optimization time (s),107.13008767878635
11.0,Compilation time (s),66.91320414887741
11.0,STL Robustness,0.05427584
11.0,Total effort (N-s),8925.959
11.0,Optimization rounds,1.0
11.0,Final population size,64.0
12.0,Cost,0.36589313
12.0,Cost gap,0.29980388
12.0,Optimization time (s),103.64303186349572
12.0,Compilation time (s),67.5861558248289
12.0,STL Robustness,0.053268746
12.0,Total effort (N-s),8751.246
12.0,Optimization rounds,1.0
12.0,Final population size,64.0
13.0,Cost,0.37394705
13.0,Cost gap,0.28801766
13.0,Optimization time (s),110.15586942387743
13.0,Compilation time (s),67.48094954015687
13.0,STL Robustness,0.048217613
13.0,Total effort (N-s),8891.751
13.0,Optimization rounds,1.0
13.0,Final population size,64.0
14.0,Cost,0.8884593
14.0,Cost gap,0.8122664
14.0,Optimization time (s),105.7873857007362
14.0,Compilation time (s),67.30410356773064
14.0,STL Robustness,-0.447297
14.0,Total effort (N-s),8587.681
14.0,Optimization rounds,1.0
14.0,Final population size,64.0
15.0,Cost,0.51383656
15.0,Cost gap,0.43924588
15.0,Optimization time (s),102.5388131318614
15.0,Compilation time (s),67.43380748480558
15.0,STL Robustness,-0.0737022
15.0,Total effort (N-s),8314.207
15.0,Optimization rounds,1.0
15.0,Final population size,64.0
16.0,Cost,0.37860024
16.0,Cost gap,0.32068264
16.0,Optimization time (s),104.79527841694652
16.0,Compilation time (s),67.3679589247331
16.0,STL Robustness,0.061547916
16.0,Total effort (N-s),9010.878
16.0,Optimization rounds,1.0
16.0,Final population size,64.0
