seed,measurement,value
0.0,Cost,11.9460945
0.0,Cost gap,7.688008
0.0,Optimization time (s),10.104194426443428
0.0,Compilation time (s),235.735575648956
0.0,STL Robustness,-4.9448385
0.0,Total effort (N-s),139195.81
0.0,Optimization rounds,1.0
0.0,Final population size,1.0
1.0,Cost,7.1843705
1.0,Cost gap,4.9511337
1.0,Optimization time (s),5.867558771278709
1.0,Compilation time (s),255.77358508529144
1.0,STL Robustness,-2.954732
1.0,Total effort (N-s),84471.81
1.0,Optimization rounds,1.0
1.0,Final population size,1.0
2.0,Cost,9.484528
2.0,Cost gap,5.7477202
2.0,Optimization time (s),9.416401936206968
2.0,Compilation time (s),255.47467095591128
2.0,STL Robustness,-4.146522
2.0,Total effort (N-s),106467.64
2.0,Optimization rounds,1.0
2.0,Final population size,1.0
3.0,Cost,9.883953
3.0,Cost gap,6.639839
3.0,Optimization time (s),6.758236046414822
3.0,Compilation time (s),250.85965767037123
3.0,STL Robustness,-4.1892557
3.0,Total effort (N-s),113819.234
3.0,Optimization rounds,1.0
3.0,Final population size,1.0
4.0,Cost,7.3857784
4.0,Cost gap,5.4753213
4.0,Optimization time (s),9.87595424707979
4.0,Compilation time (s),250.4371471758932
4.0,STL Robustness,-2.8653011
4.0,Total effort (N-s),90211.77
4.0,Optimization rounds,1.0
4.0,Final population size,1.0
5.0,Cost,11.087006
5.0,Cost gap,7.4396276
5.0,Optimization time (s),8.455254364293069
5.0,Compilation time (s),257.07423674408346
5.0,STL Robustness,-4.783683
5.0,Total effort (N-s),125927.734
5.0,Optimization rounds,1.0
5.0,Final population size,1.0
6.0,Cost,9.041459
6.0,Cost gap,5.6810303
6.0,Optimization time (s),7.742755789775401
6.0,Compilation time (s),255.56920476118103
6.0,STL Robustness,-3.6778111
6.0,Total effort (N-s),107150.28
6.0,Optimization rounds,1.0
6.0,Final population size,1.0
7.0,Cost,6.5403275
7.0,Cost gap,3.4844456
7.0,Optimization time (s),10.983810735866427
7.0,Compilation time (s),254.4960879017599
7.0,STL Robustness,-2.1374478
7.0,Total effort (N-s),87762.74
7.0,Optimization rounds,1.0
7.0,Final population size,1.0
8.0,Cost,6.201354
8.0,Cost gap,3.6889055
8.0,Optimization time (s),9.555602475069463
8.0,Compilation time (s),251.8947013099678
8.0,STL Robustness,-2.2275903
8.0,Total effort (N-s),79352.03
8.0,Optimization rounds,1.0
8.0,Final population size,1.0
9.0,Cost,5.514382
